Bureaux;Inscrits;Votants;Enveloppes;Nuls;Exprimés;Procurations;ANGERS POUR VOUS;AIMER ANGERS
00106 - ECOLE VOLTAIRE;798;388;388.0;30.0;358.0;7.0;173.0;185.0
00207 - ECOLE MATERNELLE HENRI CHIRON;1157;684;684.0;36.0;648.0;10.0;305.0;343.0
00208 - ECOLE MATERNELLE HENRI CHIRON;1393;840;840.0;50.0;790.0;16.0;422.0;368.0
00303 - SALONS CURNONSKY-WELCOME;1105;605;605.0;29.0;576.0;21.0;304.0;272.0
00309 - ECOLE CONDORCET;1268;839;839.0;31.0;808.0;45.0;518.0;290.0
00311 - ECOLE CONDORCET;1140;732;732.0;29.0;703.0;32.0;370.0;333.0
00501 - ECOLE CHARLES BENIER;1270;840;840.0;45.0;795.0;29.0;451.0;344.0
00502 - ECOLE CHARLES BENIER;1325;916;916.0;46.0;870.0;37.0;506.0;364.0
00506 - ECOLE MATERNELLE J.J.ROUSSEAU;959;650;650.0;38.0;612.0;28.0;324.0;288.0
00512 - ECOLE DES GRANDES MAULEVRIES;1030;682;682.0;31.0;651.0;16.0;369.0;282.0
00602 - ECOLE RASPAIL;1147;626;626.0;23.0;603.0;22.0;303.0;300.0
00603 - ECOLE ROBERT DESNOS;876;480;480.0;26.0;454.0;6.0;199.0;255.0
00605 - ECOLE MATERNELLE ALDO FERRARO;1029;656;656.0;50.0;606.0;18.0;265.0;341.0
00606 - ECOLE MATERNELLE ALDO FERRARO;1275;663;663.0;36.0;627.0;10.0;245.0;382.0
00704 - SALLE DAVIERS;1083;707;707.0;40.0;667.0;36.0;356.0;311.0
00804 - ECOLE MATERNELLE RENE GASNIER;939;625;625.0;30.0;595.0;25.0;344.0;251.0
00101 - LYCEE JOACHIM DU BELLAY;1117;634;634.0;27.0;607.0;14.0;348.0;259.0
00108 - ECOLE MATERNELLE PAUL VALERY;1150;709;709.0;43.0;666.0;11.0;382.0;284.0
00203 - ECOLE MATERNELLE LAREVELLIERE;925;556;556.0;33.0;523.0;4.0;277.0;246.0
00206 - ECOLE ANNIE FRATELLINI;988;505;505.0;27.0;478.0;6.0;212.0;266.0
00210 - ECOLE MATERNELLE HENRI CHIRON;1011;606;606.0;34.0;572.0;16.0;312.0;260.0
00301 - HOTEL DE VILLE;1051;594;594.0;32.0;562.0;25.0;277.0;285.0
00304 - SALONS CURNONSKY - WELCOME;1195;777;777.0;32.0;745.0;46.0;521.0;224.0
00310 - ECOLE CONDORCET;1134;779;779.0;34.0;745.0;57.0;528.0;217.0
00312 - ECOLE CONDORCET;1251;880;880.0;35.0;845.0;39.0;511.0;334.0
00314 - ENSEMBLE PAUL BERT;965;661;661.0;26.0;635.0;46.0;386.0;249.0
00403 - ECOLE RENE BROSSARD;818;499;499.0;23.0;476.0;14.0;254.0;222.0
00505 - ECOLE MATERNELLE J.J ROUSSEAU;1219;697;697.0;37.0;660.0;15.0;312.0;348.0
00507 - ECOLE PRIMAIRE JULES VERNE;1416;746;746.0;38.0;708.0;14.0;302.0;406.0
00511 - ECOLE DES GRANDES MAULEVRIES;1040;651;651.0;20.0;631.0;30.0;318.0;313.0
00513 - ECOLE DES GRANDES MAULEVRIES;1015;677;677.0;35.0;642.0;16.0;383.0;259.0
00611 - SALLE AUGUSTE CHUPIN;1043;710;710.0;32.0;678.0;21.0;362.0;316.0
00612 - SALLE AUGUSTE CHUPIN;946;619;619.0;30.0;589.0;14.0;318.0;271.0
00107 - ECOLE MATERNELLE PAUL VALERY;1055;524;524.0;20.0;504.0;12.0;257.0;247.0
00109 - ECOLE MATERNELLE PAUL VALERY;1041;464;464.0;19.0;445.0;9.0;203.0;242.0
00202 - ECOLE MATERNELLE LAREVELLIERE;1116;695;695.0;42.0;653.0;17.0;374.0;279.0
00205 - ECOLE ANNIE FRATELLINI;936;584;584.0;46.0;538.0;8.0;286.0;252.0
00302 - HOTEL DE VILLE;1047;618;618.0;33.0;585.0;26.0;365.0;220.0
00306 - ECOLE PRIMAIRE DE LA BLANCHERAIE;940;615;615.0;14.0;601.0;24.0;369.0;232.0
00307 - LYCEE DAVID D'ANGERS;1030;690;690.0;25.0;665.0;46.0;516.0;149.0
00308 - LYCEE DAVID D'ANGERS;942;682;682.0;22.0;660.0;62.0;471.0;189.0
00319 - LYCEE DAVID D'ANGERS;996;708;708.0;20.0;688.0;68.0;514.0;174.0
00402 - ECOLE RENE BROSSARD;1089;622;622.0;40.0;582.0;14.0;315.0;267.0
00404 - ECOLE MATERNELLE ADRIEN TIGEOT;1410;795;795.0;50.0;745.0;22.0;415.0;330.0
00503 - ECOLE CHARLES BENIER;1037;668;668.0;33.0;635.0;15.0;369.0;266.0
00508 - ECOLE PRIMAIRE JULES VERNE;1018;731;731.0;30.0;701.0;25.0;397.0;304.0
00604 - ECOLE ROBERT DESNOS;924;439;439.0;33.0;406.0;6.0;155.0;251.0
00609 - ECOLE JEAN ROSTAND;1021;685;685.0;47.0;638.0;23.0;281.0;357.0
00701 - ECOLE GREGOIRE BORDILLON;991;669;668.0;39.0;629.0;16.0;339.0;290.0
00703 - ECOLE RENE DESCARTES;1079;676;676.0;32.0;644.0;18.0;341.0;303.0
00102 - LYCEE JOACHIM DU BELLAY;1217;816;816.0;30.0;786.0;39.0;450.0;336.0
00103 - ECOLE MATERNELLE MARIE TALET;1184;713;713.0;35.0;678.0;31.0;350.0;328.0
00201 - ECOLE MATERNELLE LAREVELLIERE;1179;775;775.0;26.0;749.0;23.0;519.0;230.0
00305 - ECOLE PRIMAIRE DE LA BLANCHERAIE;1284;883;883.0;29.0;854.0;37.0;522.0;332.0
00315 - ENSEMBLE PAUL BERT;1065;713;713.0;39.0;674.0;27.0;419.0;255.0
00316 - ECOLE PRIMAIRE ALFRED CLEMENT;1145;768;768.0;39.0;729.0;53.0;484.0;245.0
00317 - ECOLE PRIMAIRE ALFRED CLEMENT;896;537;537.0;27.0;510.0;28.0;266.0;244.0
00318 - ECOLE PRIMAIRE ALFRED CLEMENT;1178;759;759.0;34.0;725.0;49.0;477.0;248.0
00405 - ECOLE MATERNELLE ADRIEN TIGEOT;1270;756;756.0;46.0;710.0;28.0;378.0;332.0
00407 - ECOLE RENE BROSSARD;928;608;608.0;31.0;577.0;30.0;326.0;251.0
00504 - ECOLE MATERNELLE J.J.ROUSSEAU;1060;489;489.0;33.0;456.0;3.0;182.0;274.0
00509 - ECOLE CLAUDE MONET;1124;675;675.0;28.0;647.0;18.0;310.0;337.0
00607 - ECOLE MONTESQUIEU;1286;682;682.0;39.0;643.0;7.0;304.0;339.0
00608 - ECOLE JEAN ROSTAND;1113;650;650.0;29.0;621.0;14.0;305.0;316.0
00610 - ECOLE JEAN ROSTAND;863;544;544.0;23.0;521.0;11.0;216.0;305.0
00702 - ECOLE RENE DESCARTES;1151;690;690.0;27.0;663.0;25.0;321.0;342.0
00802 - ECOLE MATERNELLE GERARD PHILIPE;1183;752;752.0;44.0;708.0;18.0;346.0;362.0
00805 - ECOLE MATERNELLE RENE GASNIER;940;560;560.0;38.0;522.0;13.0;253.0;269.0
00104 - ECOLE MATERNELLE MARIE TALET;1055;618;618.0;14.0;604.0;20.0;287.0;317.0
00105 - ECOLE VOLTAIRE;939;465;465.0;14.0;451.0;8.0;210.0;241.0
00110 - ENSEMBLE JEAN MACE;1217;795;795.0;55.0;740.0;22.0;348.0;392.0
00204 - ECOLE ANNIE FRATELLINI;1124;733;733.0;34.0;699.0;40.0;367.0;332.0
00209 - ECOLE MATERNELLE HENRI CHIRON;1296;870;870.0;37.0;833.0;0.0;389.0;444.0
00313 - ECOLE CONDORCET;1001;566;566.0;33.0;533.0;12.0;295.0;238.0
00401 - ECOLE RENE BROSSARD;904;630;630.0;48.0;582.0;24.0;379.0;203.0
00406 - ECOLE MATERNELLE ADRIEN TIGEOT;1235;713;712.0;38.0;674.0;17.0;344.0;330.0
00510 - ECOLE CLAUDE MONET;1084;583;583.0;47.0;536.0;14.0;244.0;292.0
00601 - ECOLE RASPAIL;792;467;467.0;17.0;450.0;22.0;222.0;228.0
00613 - ECOLE GREGOIRE BORDILLON;991;596;596.0;25.0;571.0;11.0;280.0;291.0
00705 - RELAIS MAIRIE LES HAUTS DE SAINT-AUBIN;1003;677;677.0;40.0;637.0;27.0;319.0;318.0
00801 - ECOLE MATERNELLE GERARD PHILIPE;1083;690;690.0;33.0;657.0;25.0;332.0;325.0
00803 - ECOLE MATERNELLE GERARD PHILIPE;741;288;288.0;11.0;277.0;6.0;107.0;170.0
